"""""","""Entry.Number""","""date""","""Terminus(m)""","""Author"""
"""122""",121,1.99032876712329,1860,"""Catania"""
"""123""",122,1.99037808219178,2415,"""Catania"""
"""124""",123,1.99037808219178,2310,"""Bevan"""
"""125""",124,1.99037808219178,2370,"""Cheng"""
"""126""",125,1.99044109589041,2250,"""Catania"""
"""127""",126,1.99044109589041,2265,"""Wood"""
"""128""",127,1.99044109589041,2340,"""Bevan"""
"""129""",128,1.9904602739726,2310,"""Catania"""
"""130""",129,1.99048493150685,1620,"""Catania"""
"""131""",130,1.99055342465753,1095,"""Catania"""
"""132""",131,1.99055342465753,855,"""Bevan"""
"""133""",132,1.99063561643836,360,"""ESA"""
"""134""",133,1.99063561643836,315,"""Catania"""
"""135""",134,1.99064109589041,375,"""Catania"""
"""136""",135,1.9906602739726,435,"""Bevan"""
"""137""",136,1.9907095890411,675,"""Wood"""
"""138""",137,1.9907095890411,750,"""Fahrner"""
"""139""",138,1.99118630136986,915,"""Black_Taryn"""
"""140""",139,1.99131780821918,1500,"""Bevan"""
"""141""",140,1.99136164383562,1755,"""Bevan"""
"""142""",141,1.99140547945205,2070,"""Bevan"""
"""143""",142,1.99144931506849,2385,"""Bevan"""
"""144""",143,1.99145479452055,2445,"""Cheng"""
"""145""",144,1.99145479452055,2520,"""Catania"""
"""146""",145,1.99149315068493,2700,"""Bevan"""
"""147""",146,1.99155616438356,2505,"""Wood"""
"""148""",147,1.99155616438356,2655,"""Catania"""
"""149""",148,1.9921693989071,945,"""Black_Taryn"""
"""150""",149,1.99221857923497,1155,"""Bevan"""
"""151""",150,1.99226229508197,1320,"""Bevan"""
"""152""",151,1.99239344262295,2325,"""Bevan"""
"""153""",152,1.99263661202186,1590,"""Wood"""
"""154""",153,1.99265846994536,1140,"""Carr"""
"""155""",154,1.99269398907104,1470,"""Fahrner"""
"""156""",155,1.99274316939891,1665,"""Bevan"""
"""157""",156,1.99318082191781,825,"""Black_Taryn"""
"""158""",157,1.99333150684931,1500,"""Bevan"""
"""159""",158,1.99341917808219,2040,"""Bevan"""
"""160""",159,1.99353150684932,2400,"""Wood"""
"""161""",160,1.99373150684932,1260,"""Fahrner"""
"""162""",161,1.99438904109589,2610,"""Catania"""
"""163""",162,1.99438904109589,2640,"""Black_Taryn"""
"""164""",163,1.99438904109589,2565,"""Cheng"""
"""165""",164,1.99449589041096,1380,"""Catania"""
"""166""",165,1.99456438356164,1590,"""Catania"""
"""167""",166,1.99456438356164,1545,"""Catania"""
"""168""",167,1.99456438356164,1605,"""Catania"""
"""169""",168,1.99464657534247,900,"""Catania"""
"""170""",169,1.99464657534247,840,"""Bevan"""
"""171""",170,1.99464657534247,900,"""Cheng"""
"""172""",171,1.99465205479452,495,"""Catania"""
"""173""",172,1.99465205479452,495,"""Wood"""
"""174""",173,1.99473424657534,570,"""Bevan"""
"""175""",174,1.99473424657534,555,"""Catania"""
"""176""",175,1.99473424657534,285,"""Fahrner"""
"""177""",176,1.99473424657534,285,"""ESA"""
"""178""",177,1.99501095890411,1320,"""Catania"""
"""179""",178,1.99527945205479,1545,"""Black_Taryn"""
"""180""",179,1.99571780821918,450,"""Fahrner"""
"""181""",180,1.99572328767123,420,"""Wood"""
"""182""",181,1.99576164383562,645,"""Black_Taryn"""
"""183""",182,1.99598356164384,495,"""ESA"""
"""184""",183,1.99646721311475,1215,"""Bevan"""
"""185""",184,1.99653005464481,885,"""Bevan"""
"""186""",185,1.99670491803279,540,"""Catania"""
"""187""",186,1.99724931506849,285,"""Black_Taryn"""
"""188""",187,1.99736164383562,465,"""Bevan"""
"""189""",188,1.99744931506849,735,"""Bevan"""
"""190""",189,1.99747397260274,960,"""Wood"""
"""191""",190,1.99775616438356,300,"""ESA"""
"""192""",191,1.99823835616438,2805,"""Black_Taryn"""
"""193""",192,1.99830684931507,1755,"""Catania"""
"""194""",193,1.99847671232877,810,"""Catania"""
"""195""",194,1.99848219178082,795,"""Bevan"""
"""196""",195,1.99848219178082,900,"""Catania"""
"""197""",196,1.99854520547945,345,"""Catania"""
"""198""",197,1.99854520547945,375,"""Wood"""
"""199""",198,1.9985698630137,165,"""Bevan"""
"""200""",199,1.99860821917808,-105,"""Catania"""
"""201""",200,1.99860821917808,-60,"""Cheng"""
"""202""",201,1.99865205479452,120,"""Catania"""
"""203""",202,1.99872054794521,450,"""Black_Taryn"""
"""204""",203,1.99872054794521,390,"""Catania"""
"""205""",204,1.99872054794521,450,"""ESA"""
"""206""",205,1.99872054794521,420,"""Cheng"""
"""207""",206,1.99872054794521,495,"""Fahrner"""
"""208""",207,1.99958082191781,540,"""Catania"""
"""209""",208,1.99964383561644,180,"""Catania"""
"""210""",209,1.99966301369863,255,"""Catania"""
"""211""",210,1.99966301369863,270,"""PROMICE"""
"""212""",211,1.99966301369863,255,"""ESA"""
"""213""",212,1.99971232876712,270,"""Catania"""
"""214""",213,1.9997698630137,480,"""Catania"""
"""215""",214,1.99981369863014,720,"""Catania"""
"""216""",215,1.99981369863014,750,"""Black_Taryn"""
"""217""",216,1.99981369863014,675,"""Wood"""
"""218""",217,2.00015027322404,465,"""Catania"""
"""219""",218,2.00015027322404,540,"""Cheng"""
"""220""",219,2.00023224043716,840,"""Catania"""
"""221""",220,2.00025136612022,975,"""Cheng"""
"""222""",221,2.00030054644809,1125,"""Catania"""
"""223""",222,2.00031967213115,1215,"""Catania"""
"""224""",223,2.00031967213115,1230,"""Bevan"""
"""225""",224,2.00033879781421,1305,"""Catania"""
"""226""",225,2.00036885245902,1455,"""Catania"""
"""227""",226,2.00045628415301,630,"""Murray"""
"""228""",227,2.00045628415301,645,"""Howat"""
"""229""",228,2.00045628415301,645,"""Catania"""
"""230""",229,2.00049453551913,780,"""Bevan"""
"""231""",230,2.00049453551913,840,"""Wood"""
"""232""",231,2.00057650273224,810,"""Catania"""
"""233""",232,2.00060109289617,780,"""Carr"""
"""234""",233,2.00060109289617,825,"""Cheng"""
"""235""",234,2.00060109289617,780,"""Catania"""
"""236""",235,2.00060109289617,765,"""Howat"""
"""237""",236,2.00065027322404,165,"""Howat"""
"""238""",237,2.00065027322404,210,"""Cheng"""
"""239""",238,2.00065027322404,180,"""Catania"""
"""240""",239,2.00069398907104,345,"""Cheng"""
"""241""",240,2.00069398907104,345,"""Fahrner"""
"""242""",241,2.00069398907104,315,"""ESA"""
"""243""",242,2.00089890710383,150,"""Moon_Twila"""
"""244""",243,2.0012,90,"""Catania"""
"""245""",244,2.00121369863014,180,"""Catania"""
"""246""",245,2.00121917808219,165,"""Catania"""
"""247""",246,2.00123835616438,255,"""Catania"""
"""248""",247,2.00124383561644,270,"""Catania"""
"""249""",248,2.00135068493151,465,"""Catania"""
"""250""",249,2.00137534246575,570,"""Catania"""
"""251""",250,2.00141369863014,750,"""Bevan"""
"""252""",251,2.00141369863014,750,"""Catania"""
"""253""",252,2.00143835616438,855,"""Catania"""
"""254""",253,2.00150136986301,780,"""Bevan"""
"""255""",254,2.00150136986301,795,"""Catania"""
"""256""",255,2.00150684931507,825,"""Catania"""
"""257""",256,2.00150684931507,810,"""Cheng"""
